,Unnamed: 0,Index,Link
0,0.0,1001.0,laptop_images/1001/img1.jpg
1,1.0,1001.0,laptop_images/1001/img2.jpg
2,2.0,1001.0,laptop_images/1001/img3.jpg
3,3.0,1001.0,laptop_images/1001/img4.jpg
4,4.0,1002.0,laptop_images/1002/img1.jpg
5,5.0,1002.0,laptop_images/1002/img2.jpg
6,6.0,1002.0,laptop_images/1002/img3.jpg
7,7.0,1003.0,laptop_images/1003/img1.jpg
8,8.0,1003.0,laptop_images/1003/img2.jpg
9,9.0,1003.0,laptop_images/1003/img3.jpg
10,10.0,1003.0,laptop_images/1003/img4.jpg
11,11.0,1004.0,laptop_images/1004/img1.jpg
12,12.0,1004.0,laptop_images/1004/img2.jpg
13,13.0,1004.0,laptop_images/1004/img3.jpg
14,14.0,1004.0,laptop_images/1004/img4.jpg
15,15.0,1005.0,laptop_images/1005/img1.jpg
16,16.0,1005.0,laptop_images/1005/img2.jpg
17,17.0,1005.0,laptop_images/1005/img3.jpg
18,18.0,1006.0,laptop_images/1006/img1.jpg
19,19.0,1006.0,laptop_images/1006/img2.jpg
20,20.0,1006.0,laptop_images/1006/img3.jpg
21,21.0,1006.0,laptop_images/1006/img4.jpg
22,22.0,1007.0,laptop_images/1007/img1.jpg
23,23.0,1007.0,laptop_images/1007/img2.jpg
24,24.0,1007.0,laptop_images/1007/img3.jpg
25,25.0,1007.0,laptop_images/1007/img4.jpg
26,26.0,1008.0,laptop_images/1008/img1.jpg
27,27.0,1008.0,laptop_images/1008/img2.jpg
28,28.0,1008.0,laptop_images/1008/img3.jpg
29,29.0,1008.0,laptop_images/1008/img4.jpg
30,30.0,1009.0,laptop_images/1009/img1.jpg
31,31.0,1009.0,laptop_images/1009/img2.jpg
32,32.0,1009.0,laptop_images/1009/img3.jpg
33,33.0,1009.0,laptop_images/1009/img4.jpg
34,34.0,1010.0,laptop_images/1010/img1.jpg
35,35.0,1010.0,laptop_images/1010/img2.jpg
36,36.0,1010.0,laptop_images/1010/img3.jpg
37,37.0,1010.0,laptop_images/1010/img4.jpg
38,38.0,1011.0,laptop_images/1011/img1.jpg
39,39.0,1011.0,laptop_images/1011/img2.jpg
40,40.0,1011.0,laptop_images/1011/img3.jpg
41,41.0,1011.0,laptop_images/1011/img4.jpg
42,42.0,1012.0,laptop_images/1012/img1.jpg
43,43.0,1012.0,laptop_images/1012/img2.jpg
44,44.0,1012.0,laptop_images/1012/img3.jpg
45,45.0,1013.0,laptop_images/1013/img1.jpg
46,46.0,1014.0,laptop_images/1014/img1.jpg
47,47.0,1014.0,laptop_images/1014/img2.jpg
48,48.0,1014.0,laptop_images/1014/img3.jpg
49,49.0,1014.0,laptop_images/1014/img4.jpg
50,50.0,1014.0,laptop_images/1014/img5.jpg
51,51.0,1015.0,laptop_images/1015/img1.jpg
52,52.0,1015.0,laptop_images/1015/img2.jpg
53,53.0,1016.0,laptop_images/1016/img1.jpg
54,54.0,1016.0,laptop_images/1016/img2.jpg
55,55.0,1016.0,laptop_images/1016/img3.jpg
56,56.0,1017.0,laptop_images/1017/img1.jpg
57,57.0,1017.0,laptop_images/1017/img2.jpg
58,58.0,1017.0,laptop_images/1017/img3.jpg
59,59.0,1018.0,laptop_images/1018/img1.jpg
60,60.0,1018.0,laptop_images/1018/img2.jpg
